ID;sex;pop;year
F71;F;Vesuve;2020
F72;F;Vesuve;2020
F73;M;Vesuve;2020
F75;NA;Vesuve;2020
F78;NA;Vesuve;2020
F79;NA;Vesuve;2020
F80;M;Vesuve;2020
F81;M;Vesuve;2020
F83;M;Vesuve;2020
F84;M;Vesuve;2020
F86;NA;Scopello;2020
F87;F;Scopello;2020
F88;F;Scopello;2020
F89;NA;Scopello;2020
F90;NA;Scopello;2020
F91;NA;Scopello;2020
F92;NA;Scopello;2020
F93;NA;Scopello;2020
F94;F;Scopello;2020
F95;NA;Scopello;2020
F96;NA;Scopello;2020
F97;NA;Scopello;2020
F98;NA;Scopello;2020
F99;F;Scopello;2020
G01;F;Scopello;2020
G02;NA;Scopello;2020
G03;F;Scopello;2020
G04;NA;Scopello;2020
G05;NA;Scopello;2020
G06;NA;Scopello;2020
G07;NA;Scopello;2020
G08;NA;Scopello;2020
G09;NA;Scopello;2020
G10;NA;Scopello;2020
G11;NA;Scopello;2020
G12;F;Scopello;2020
G13;F;Scopello;2020
G14;NA;Scopello;2020
G15;NA;Scopello;2020
G16;NA;Scopello;2020
G17;F;Scopello;2020
G18;F;TorreBennistra;2020
G19;F;TorreBennistra;2020
G20;NA;TorreBennistra;2020
G21;F;Forgiano;2020
G22;F;Forgiano;2020
G23;F;Forgiano;2020
G24;F;Forgiano;2020
G25;F;Forgiano;2020
G26;F;Forgiano;2020
G27;F;Forgiano;2020
G28;F;Forgiano;2020
G29;NA;Forgiano;2020
G30;NA;Forgiano;2020
G31;NA;Forgiano;2020
G32;NA;Forgiano;2020
G33;NA;Forgiano;2020
G34;NA;Forgiano;2020
G35;NA;Forgiano;2020
G36;F;Ambrogio;2020
G37;F;Ambrogio;2020
G38;F;Ambrogio;2020
G39;NA;Ambrogio;2020
G40;NA;Ambrogio;2020
G41;NA;Ambrogio;2020
G42;NA;Ambrogio;2020
G43;NA;Ambrogio;2020
G45;NA;Ambrogio;2020
G46;NA;Ambrogio;2020
G47;NA;Ambrogio;2020
G48;NA;Ambrogio;2020
G49;NA;Ambrogio;2020
G50;NA;Ambrogio;2020
G51;NA;Ambrogio;2020
G52;F;SP04;2020
G53;F;SP04;2020
G54;F;SP04;2020
G55;F;SP04;2020
G56;F;SP04;2020
G57;F;SP04;2020
G58;M;SP04;2020
G59;M;SP04;2020
G60;F;SP04;2020
G61;F;SP04;2020
G62;F;SP04;2020
G63;F;SP04;2020
G64;F;SP04;2020
G65;F;SP04;2020
G66;NA;Marettimo;2020
G67;F;Cassibile;2020
G68;F;Cassibile;2020
G69;F;Cassibile;2020
G70;F;Cassibile;2020
G71;F;Cassibile;2020
G72;M;Cassibile;2020
G73;M;Cassibile;2020
G74;M;Cassibile;2020
G75;M;Cassibile;2020
G76;NA;Cassibile;2020
G77;F;Cassibile;2020
G78;F;Cassibile;2020
G79;NA;Cassibile;2020
G80;M;Cassibile;2020
G81;F;Cassibile;2020
G82;F;Cassibile;2020
G83;F;Cassibile;2020
G84;M;Cassibile;2020
G85;M;Cassibile;2020
G86;M;Cassibile;2020
G87;M;Cassibile;2020
G88;NA;Cassibile;2020
G89;M;Cassibile;2020
G90;F;Cassibile;2020
G91;M;Cassibile;2020
G92;F;Cassibile;2020
G93;F;Cassibile;2020
G94;F;Cassibile;2020
G95;F;Cassibile;2020
G96;M;Cassibile;2020
G97;F;Cassibile;2020
G98;F;Cassibile;2020
G99;F;Cassibile;2020
H01;F;Patti;2020
H02;F;Patti;2020
H03;F;Patti;2020
H04;F;Patti;2020
H05;F;Patti;2020
H06;F;Patti;2020
H07;F;Patti;2020
H08;F;Patti;2020
H09;M;Patti;2020
H10;M;Patti;2020
H11;M;Patti;2020
H13;NA;Patti;2020
H14;NA;Patti;2020
H15;NA;Patti;2020
H16;NA;Patti;2020
H17;M;Patti;2020
H18;M;Patti;2020
H19;M;Patti;2020
H20;M;Patti;2020
H21;M;Patti;2020
H22;M;Patti;2020
H23;M;Patti;2020
H24;F;Patti;2020
H25;F;Patti;2020
H26;M;Patti;2020
H27;F;MP;2020
H28;F;MP;2020
H29;F;MP;2020
H30;F;MP;2020
H31;F;MP;2020
H32;F;MP;2020
H33;M;MP;2020
H34;M;MP;2020
H35;M;MP;2020
H36;M;MP;2020
H37;M;MP;2020
H38;M;MP;2020
H39;NA;MP;2020
H40;M;MP;2020
H41;M;MP;2020
H42;F;MP;2020
H43;F;MP;2020
H44;M;MP;2020
H45;F;MP;2020
H46;F;MP;2020
H47;F;MP;2020
H48;M;MP;2020
H49;M;MP;2020
H50;F;MP;2020
H51;M;MP;2020
H52;F;TorreBennistra;2020
H53;F;TorreBennistra;2020
H54;F;TorreBennistra;2020
H55;NA;TorreBennistra;2020
H56;F;TorreBennistra;2020
H57;F;TorreBennistra;2020
H58;F;TorreBennistra;2020
H59;F;TorreBennistra;2020
H60;M;TorreBennistra;2020
H61;F;TorreBennistra;2020
H62;F;TorreBennistra;2020
H63;F;TorreBennistra;2020
H64;F;TorreBennistra;2020
H65;F;TorreBennistra;2020
H66;NA;TorreBennistra;2020
H67;M;TorreBennistra;2020
H68;M;TorreBennistra;2020
H69;M;TorreBennistra;2020
H70;F;ScopelloNord;2020
H71;F;ScopelloNord;2020
H72;F;ScopelloNord;2020
H73;F;ScopelloNord;2020
H74;F;ScopelloNord;2020
H75;M;ScopelloNord;2020
H76;F;ScopelloNord;2020
H77;NA;ScopelloNord;2020
H78;F;Cassibile;2020
H79;F;Cassibile;2020
H80;F;Cassibile;2020
H81;M;Cassibile;2020
H82;F;Cassibile;2020
H83;M;Cassibile;2020
H85;F;Siracusa;2020
H86;F;Siracusa;2020
H87;F;Siracusa;2020
H88;F;Siracusa;2020
H89;F;Siracusa;2020
H90;F;Siracusa;2020
H91;F;Siracusa;2020
H92;F;Siracusa;2020
H93;F;Siracusa;2020
H94;F;Siracusa;2020
H95;NA;Siracusa;2020
H96;F;Siracusa;2020
H97;F;MP;2020
H98;M;MP;2020
I02;F;MP;2020
I03;M;Cassibile;2020
I04;M;Cassibile;2020
I05;M;Cassibile;2020
I06;M;Cassibile;2020
I07;NA;MP;2020
I08;NA;MP;2020
